baseline,data,media_semanal,percentual_de_mortes_moveis,total_de_mortes,variacao_absoluta_sobre_o_dia_anterior
0,2020-03-17,,,1,
0,2020-03-18,,,4,3
0,2020-03-19,,,7,3
0,2020-03-20,,,11,4
0,2020-03-21,,,18,7
0,2020-03-22,5,,25,7
0,2020-03-23,6,,34,9
0,2020-03-24,7,,47,13
0,2020-03-25,8,,59,12
0,2020-03-26,10,,77,18
0,2020-03-27,12,,93,16
0,2020-03-28,14,,113,20
0,2020-03-29,16,,139,26
0,2020-03-30,19,,165,26
0,2020-03-31,22,,202,37
0,2020-04-01,26,,244,42
0,2020-04-02,36,,327,83
0,2020-04-03,39,,365,38
0,2020-04-04,47,,445,80
0,2020-04-05,50,,487,42
0,2020-04-06,57,772,566,79
0,2020-04-07,70,789,691,125
0,2020-04-08,83,727,823,132
0,2020-04-09,90,668,957,134
0,2020-04-10,101,646,1074,117
0,2020-04-11,99,511,1141,67
0,2020-04-12,107,469,1233,92
0,2020-04-13,113,409,1355,122
0,2020-04-14,123,365,1552,197
0,2020-04-15,134,275,1760,208
0,2020-04-16,142,266,1952,192
0,2020-04-17,157,230,2171,219
0,2020-04-18,176,254,2372,201
0,2020-04-19,179,213,2487,115
0,2020-04-20,177,154,2595,108
0,2020-04-21,174,110,2769,174
0,2020-04-22,168,86,2934,165
0,2020-04-23,199,96,3343,409
0,2020-04-24,221,122,3716,373
0,2020-04-25,242,127,4066,350
0,2020-04-26,258,129,4295,229
0,2020-04-27,287,133,4603,308
0,2020-04-28,331,147,5087,484
0,2020-04-29,371,161,5533,446
0,2020-04-30,380,143,6006,473
0,2020-05-01,389,121,6437,431
0,2020-05-02,385,115,6763,326
0,2020-05-03,394,122,7052,289
0,2020-05-04,396,128,7373,321
0,2020-05-05,411,145,7962,589
0,2020-05-06,437,120,8591,629
0,2020-05-07,460,108,9225,634
0,2020-05-08,512,112,10023,798
0,2020-05-09,560,117,10684,661
0,2020-05-10,575,100,11078,394
0,2020-05-11,611,85,11653,575
0,2020-05-12,646,74,12482,829
0,2020-05-13,668,76,13266,784
0,2020-05-14,686,76,14025,759
0,2020-05-15,706,83,14967,942
0,2020-05-16,716,82,15694,727
0,2020-05-17,725,83,16152,458
0,2020-05-18,749,82,16893,741
0,2020-05-19,790,81,18013,1120
0,2020-05-20,804,75,18894,881
0,2020-05-21,870,70,20114,1220
0,2020-05-22,883,58,21145,1031
0,2020-05-23,929,62,22197,1052
0,2020-05-24,942,54,22746,549
0,2020-05-25,947,47,23522,776
0,2020-05-26,942,41,24608,1086
0,2020-05-27,972,42,25697,1089
0,2020-05-28,953,35,26788,1091
0,2020-05-29,971,36,27944,1156
0,2020-05-30,955,32,28882,938
0,2020-05-31,942,26,29341,459
0,2020-06-01,937,19,30079,738
0,2020-06-02,958,19,31317,1238
0,2020-06-03,986,13,32602,1285
0,2020-06-04,1041,18,34072,1470
0,2020-06-05,1027,11,35135,1063
0,2020-06-06,1023,9,36044,909
0,2020-06-07,1017,7,36463,419
0,2020-06-08,1034,10,37319,856
0,2020-06-09,1026,6,38497,1178
0,2020-06-10,1028,8,39797,1300
0,2020-06-11,998,3,41058,1261
0,2020-06-12,967,1,41901,843
0,2020-06-13,964,2,42791,890
0,2020-06-14,989,6,43389,598
0,2020-06-15,971,1,44118,729
0,2020-06-16,994,1,45456,1338
0,2020-06-17,981,-6,46665,1209
0,2020-06-18,973,-5,47869,1204
0,2020-06-19,1027,0,49090,1221
0,2020-06-20,1038,2,50058,968
0,2020-06-21,1039,0,50659,601
0,2020-06-22,1041,2,51407,748
0,2020-06-23,1045,2,52771,1364
0,2020-06-24,1030,3,53874,1103
0,2020-06-25,1026,6,55054,1180
0,2020-06-26,1003,4,56109,1055
0,2020-06-27,1006,2,57103,994
0,2020-06-28,1000,3,57658,555
0,2020-06-29,997,0,58385,727
0,2020-06-30,984,0,59656,1271
0,2020-07-01,977,0,60713,1057
0,2020-07-02,991,-4,61990,1277
0,2020-07-03,1021,-2,63254,1264
0,2020-07-04,1037,0,64365,1111
0,2020-07-05,1035,-1,64900,535
0,2020-07-06,1024,-2,65556,656
0,2020-07-07,1030,0,66868,1312
0,2020-07-08,1049,2,68055,1187
0,2020-07-09,1038,3,69254,1199
0,2020-07-10,1039,3,70524,1270
0,2020-07-11,1018,2,71492,968
0,2020-07-12,"1035,9",4,72151,659
0,2020-07-13,1052,7,72921,770
0,2020-07-14,1056,8,74262,1341
0,2020-07-15,1067,8,75523,1261
0,2020-07-16,1081,6,76822,1299
0,2020-07-17,1058,2,77932,1110
0,2020-07-18,1046,1,78817,885
0,2020-07-19,1055,3,79533,716
0,2020-07-20,1047,2,80251,718
0,2020-07-21,1048,0,81597,1346
0,2020-07-22,1052,1,82890,1293
0,2020-07-23,1055,2,84207,1317
0,2020-07-24,1065,5,85385,1178
0,2020-07-25,1097,6,86496,1111
0,2020-07-26,1074,2,87052,556
0,2020-07-27,1069,1,87679,627
0,2020-07-28,1005,-6,88634,897
0,2020-07-29,1043,-4,90188,1554
0,2020-07-30,1024,-3,91377,1189
0,2020-07-31,1026,-2,92568,1191
0,2020-08-01,1017,-4,93616,1048
0,2020-08-02,1011,-3,94130,514
0,2020-08-03,995,-5,94702,572
0,2020-08-04,1066,1,96096,1394
0,2020-08-05,1033,-2,97418,1322
0,2020-08-06,1038,-2,98644,1226
0,2020-08-07,1019,-7,99702,1058
0,2020-08-08,990,-8,100543,841
0,2020-08-09,1001,-6,101136,593
0,2020-08-10,1022,2,101857,721
0,2020-08-11,1000,-4,103099,1242
0,2020-08-12,978,-5,104263,1164
0,2020-08-13,989,-4,105564,1301
0,2020-08-14,981,-4,106571,1007
0,2020-08-15,965,-5,107297,726
0,2020-08-16,963,-3,107879,582
0,2020-08-17,971,-9,108654,775
0,2020-08-18,989,-4,110019,1365
0,2020-08-19,989,-5,111189,1170
0,2020-08-20,980,-4,112423,1234
0,2020-08-21,983,-1,113454,1031
0,2020-08-22,997,0,114277,823
0,2020-08-23,985,-4,114772,495
0,2020-08-24,971,-3,115451,679
0,2020-08-25,950,-3,116666,1215
0,2020-08-26,938,-5,117756,1090
0,2020-08-27,900,-8,118726,970
0,2020-08-28,877,-9,119594,868
0,2020-08-29,889,-8,120498,904
0,2020-08-30,875,-10,120896,398
0,2020-08-31,866,-12,121515,619
0,2020-09-01,859,-13,122681,1166
0,2020-09-02,878,-10,123899,1218
0,2020-09-03,858,-13,124729,830
0,2020-09-04,856,-14,125584,855
0,2020-09-05,819,-17,126230,646
0,2020-09-06,827,-15,126686,456
0,2020-09-07,784,-17,127001,315
0,2020-09-08,691,-26,127517,516
0,2020-09-09,679,-25,128653,1136
0,2020-09-10,692,-21,129575,922
0,2020-09-11,699,-21,130474,899
0,2020-09-12,721,-18,131274,800
0,2020-09-13,711,-18,131663,389
0,2020-09-14,731,-15,132117,454
0,2020-09-15,813,-7,133207,1090
0,2020-09-16,789,-8,134174,967
0,2020-09-17,779,-9,135031,857
0,2020-09-18,769,-6,135857,826
0,2020-09-19,756,-9,136565,708
0,2020-09-20,747,-5,136895,330
0,2020-09-21,748,8,137350,455
0,2020-09-22,707,4,138159,809
0,2020-09-23,699,1,139065,906
0,2020-09-24,693,-1,139883,818
0,2020-09-25,693,-4,140709,826
0,2020-09-26,697,-2,141441,732
0,2020-09-27,697,-5,141776,335
0,2020-09-28,637,-15,142161,385
0,2020-09-29,693,-12,143010,849
0,2020-09-30,689,-12,143886,876
0,2020-10-01,698,-9,144767,881
0,2020-10-02,675,-11,145431,664
0,2020-10-03,653,-13,146011,594
0,2020-10-04,657,-12,146375,364
0,2020-10-05,659,-7,146773,398
0,2020-10-06,652,-7,147571,798
0,2020-10-07,631,-9,148304,733
0,2020-10-08,610,-12,149034,730
0,2020-10-09,609,-13,149692,658
0,2020-10-10,604,-13,150236,544
0,2020-10-11,590,-14,150506,270
0,2020-10-12,562,-19,150709,203
0,2020-10-13,499,-28,151063,354
0,2020-10-14,496,-29,151779,716
0,2020-10-15,497,-26,152513,734
0,2020-10-16,505,-23,153229,716
0,2020-10-17,493,-25,153690,461
0,2020-10-18,483,-27,153885,195
0,2020-10-19,502,-23,154226,341
0,2020-10-20,546,-13,154888,662
0,2020-10-21,526,-14,155459,571
0,2020-10-22,493,-19,155962,503
0,2020-10-23,471,-22,156528,566
0,2020-10-24,462,-22,156926,398
0,2020-10-25,468,-17,157163,237
0,2020-10-26,461,-8,157451,288
0,2020-10-27,442,-11,157981,530
0,2020-10-28,430,-14,158468,487
0,2020-10-29,439,-13,159033,553
0,2020-10-30,433,-12,159562,529
0,2020-10-31,425,-12,159902,340
0,2020-11-01,420,-16,160104,202
0,2020-11-02,403,-26,160272,168
0,2020-11-03,367,-30,160548,276
0,2020-11-04,384,-22,161170,622
0,2020-11-05,392,-17,161779,609
0,2020-11-06,353,-24,162035,256
0,2020-11-07,341,-27,162286,251
0,2020-11-08,324,-30,162374,88
0,2020-11-09,338,-24,162638,264
0,2020-11-10,328,-24,162842,204
0,2020-11-11,319,-27,163406,564
0,2020-11-12,365,-16,164332,926
0,2020-11-13,403,-5,164855,523
0,2020-11-14,484,15,165673,818
0,2020-11-15,491,22,165811,138
0,2020-11-16,490,34,166067,256
0,2020-11-17,557,45,166743,676
0,2020-11-18,584,49,167497,754
0,2020-11-19,544,54,168141,644
0,2020-11-20,544,60,168662,521
0,2020-11-21,478,47,169016,354
0,2020-11-22,484,43,169197,181
0,2020-11-23,496,51,169541,344
0,2020-11-24,491,54,170179,638
0,2020-11-25,472,29,170799,620
0,2020-11-26,479,19,171497,698
0,2020-11-27,477,-2,171998,501
0,2020-11-28,517,5,172637,639
0,2020-11-29,522,6,172848,261
0,2020-11-30,518,-7,173165,317
0,2020-12-01,526,-10,173862,697
0,2020-12-02,533,-2,174531,669
0,2020-12-03,544,0,175307,776
0,2020-12-04,569,19,175981,674
0,2020-12-05,579,20,176641,660
0,2020-12-06,588,18,176962,321
0,2020-12-07,603,23,177388,426
0,2020-12-08,617,31,178184,796
0,2020-12-09,643,34,179032,848
0,2020-12-10,642,35,179801,769
0,2020-12-11,639,25,180453,652
0,2020-12-12,643,23,181143,690
0,2020-12-13,637,23,181419,276
0,2020-12-14,651,24,181945,526
0,2020-12-15,667,25,182854,915
0,2020-12-16,684,26,183822,968
0,2020-12-17,725,27,184876,1054
0,2020-12-18,748,29,185687,811
0,2020-12-19,746,27,186365,678
0,2020-12-20,765,27,186773,408
0,2020-12-21,769,25,187322,549
0,2020-12-22,776,21,188285,963
0,2020-12-23,777,21,189264,979
0,2020-12-24,737,15,190032,768
0,2020-12-25,690,7,190515,483
0,2020-12-26,636,0,190815,276
0,2020-12-27,625,-4,191146,331
0,2020-12-28,617,-8,191641,495
0,2020-12-29,633,-7,192716,1075
0,2020-12-30,668,-8,193940,1224
0,2020-12-31,706,-6,194976,1036
0,2021-01-01,704,-6,195441,465
0,2021-01-02,704,-8,195742,301
0,2021-01-03,698,-9,196029,287
0,2021-01-04,707,-9,196591,562
0,2021-01-05,723,-7,197777,1186
0,2021-01-06,729,-1,199043,1266
0,2021-01-07,741,7,200163,1120
0,2021-01-08,872,37,201542,1379
0,2021-01-09,988,58,202657,1115
0,2021-01-10,1016,65,203140,483
0,2021-01-11,1004,59,203617,477
0,2021-01-12,993,49,204726,1109
0,2021-01-13,995,41,206009,1283
0,2021-01-14,1000,42,207160,1151
0,2021-01-15,964,37,208291,1131
0,2021-01-16,956,37,209350,1059
0,2021-01-17,961,36,209868,518
0,2021-01-18,959,33,210328,460
0,2021-01-19,969,33,211511,1183
0,2021-01-20,983,33,212893,1382
0,2021-01-21,1010,16,214228,1335
0,2021-01-22,1001,1,215299,1071
0,2021-01-23,1021,0,216475,1176
0,2021-01-24,1030,3,217081,606
0,2021-01-25,1055,6,217712,631
0,2021-01-26,1058,6,218918,1206
0,2021-01-27,1049,5,220237,1319
0,2021-01-28,1064,10,221676,1439
0,2021-01-29,1068,12,222775,1099
0,2021-01-30,1071,11,223971,1196
0,2021-01-31,1065,11,224534,563
0,2021-02-01,1062,10,225143,609
0,2021-02-02,1066,8,226383,1240
0,2021-02-03,1051,4,227592,1209
0,2021-02-04,1030,3,228883,1291
0,2021-02-05,1050,3,230127,1244
0,2021-02-06,1014,-2,231069,942
0,2021-02-07,1004,-5,231561,492
0,2021-02-08,1015,-4,232248,687
0,2021-02-09,1029,-2,233588,1340
0,2021-02-10,1050,-1,234945,1357
0,2021-02-11,1073,1,236397,1452
0,2021-02-12,1068,0,237601,1204
0,2021-02-13,1083,2,238647,1046
0,2021-02-14,1105,4,239294,647
0,2021-02-15,1092,2,239895,601
0,2021-02-16,1056,1,240983,1090
0,2021-02-17,1033,0,240983,1195
0,2021-02-18,1030,-2,243610,1432
0,2021-02-19,1051,4,244955,1345
0,2021-02-20,1051,5,246006,1051
0,2021-02-21,1038,2,246560,554
0,2021-02-22,1055,2,247276,716
0,2021-02-23,1095,4,248646,1370
0,2021-02-24,1029,5,250079,1433
0,2021-02-25,1150,8,251661,1582
0,2021-02-26,1148,6,252988,1327
0,2021-02-27,1180,7,254263,1275
0,2021-02-28,1208,11,255018,755
0,2021-03-01,1223,16,255836,818
0,2021-03-02,1274,23,257562,1726
0,2021-03-03,1332,29,259402,1840
0,2021-03-04,1361,30,261188,1786
0,2021-03-05,1423,35,262948,1760
0,2021-03-06,1.455,40,264446,1498
0,2021-03-07,1497,42,265500,1054
0,2021-03-08,1540,41,266614,1114
0,2021-03-09,1572,39,268568,1954
0,2021-03-10,1645,43,270917,2349
0,2021-03-11,1705,49,273124,2207
0,2021-03-12,1761,49,275276,2152
0,2021-03-13,1824,51,277216,1940
0,2021-03-14,1832,50,278327,1111
0,2021-03-15,1855,46,279602,1275
0,2021-03-16,1976,48,282400,2798
0,2021-03-17,2031,49,285136,2736
0,2021-03-18,2096,47,287795,2659
0,2021-03-19,2178,50,290525,2730
0,2021-03-20,2234,49,292856,2331
0,2021-03-21,2255,46,294115,1259
0,2021-03-22,2298,46,295685,1570
0,2021-03-23,2349,43,298843,3158
0,2021-03-24,2279,34,301087,2244
0,2021-03-25,2276,29,303726,2639
0,2021-03-26,2400,32,307326,3600
0,2021-03-27,2548,39,310694,3368
0,2021-03-28,2598,40,312299,1605
0,2021-03-29,2655,34,314268,1969
0,2021-03-30,2728,34,319936,3668
0,2021-03-31,2971,42,321886,3950
0,2021-04-01,3119,43,325559,3673
0,2021-04-02,3006,35,328366,2807
0,2021-04-03,2800,24,330297,1931
0,2021-04-04,2747,20,331530,1233
0,2021-04-05,2698,15,333153,1623
0,2021-04-06,2775,22,337364,4211
0,2021-04-07,2744,21,341097,3733
0,2021-04-08,2818,17,345287,4190
0,2021-04-09,2938,15,348934,3647
0,2021-04-10,3025,16,351469,2535
0,2021-04-11,3109,17,353293,1824
0,2021-04-12,3125,15,355031,1738
0,2021-04-13,3051,3,358718,3687
0,2021-04-14,3012,-3,362180,3462
0,2021-04-15,2952,-2,365954,3774
0,2021-04-16,2870,2,369024,3070
0,2021-04-17,2917,6,371889,2865
