Data Table for Weekly Deaths - The United States
Date generated: Fri Jul 12 2024 14:15:38 GMT-0300 (heure normale de Brasilia)
Geography,Date,Weekly Deaths,Death Data As Of
United States,Jul  6 2024,147,Jul 11 2024
United States,Jun 29 2024,259,Jul 11 2024
United States,Jun 22 2024,351,Jul 11 2024
United States,Jun 15 2024,327,Jul 11 2024
United States,Jun  8 2024,290,Jul 11 2024
United States,Jun  1 2024,313,Jul 11 2024
United States,May 25 2024,333,Jul 11 2024
United States,May 18 2024,327,Jul 11 2024
United States,May 11 2024,326,Jul 11 2024
United States,May  4 2024,413,Jul 11 2024
United States,Apr 27 2024,416,Jul 11 2024
United States,Apr 20 2024,487,Jul 11 2024
United States,Apr 13 2024,556,Jul 11 2024
United States,Apr  6 2024,623,Jul 11 2024
United States,Mar 30 2024,727,Jul 11 2024
United States,Mar 23 2024,838,Jul 11 2024
United States,Mar 16 2024,1031,Jul 11 2024
United States,Mar  9 2024,1096,Jul 11 2024
United States,Mar  2 2024,1258,Jul 11 2024
United States,Feb 24 2024,1315,Jul 11 2024
United States,Feb 17 2024,1383,Jul 11 2024
United States,Feb 10 2024,1608,Jul 11 2024
United States,Feb  3 2024,1735,Jul 11 2024
United States,Jan 27 2024,2125,Jul 11 2024
United States,Jan 20 2024,2358,Jul 11 2024
United States,Jan 13 2024,2578,Jul 11 2024
United States,Jan  6 2024,2489,Jul 11 2024
United States,Dec 30 2023,2228,Jul 11 2024
United States,Dec 23 2023,1934,Jul 11 2024
United States,Dec 16 2023,1843,Jul 11 2024
United States,Dec  9 2023,1793,Jul 11 2024
United States,Dec  2 2023,1731,Jul 11 2024
United States,Nov 25 2023,1423,Jul 11 2024
United States,Nov 18 2023,1431,Jul 11 2024
United States,Nov 11 2023,1391,Jul 11 2024
United States,Nov  4 2023,1246,Jul 11 2024
United States,Oct 28 2023,1291,Jul 11 2024
United States,Oct 21 2023,1392,Jul 11 2024
United States,Oct 14 2023,1315,Jul 11 2024
United States,Oct  7 2023,1398,Jul 11 2024
United States,Sep 30 2023,1456,Jul 11 2024
United States,Sep 23 2023,1417,Jul 11 2024
United States,Sep 16 2023,1409,Jul 11 2024
United States,Sep  9 2023,1313,Jul 11 2024
United States,Sep  2 2023,1188,Jul 11 2024
United States,Aug 26 2023,1067,Jul 11 2024
United States,Aug 19 2023,921,Jul 11 2024
United States,Aug 12 2023,752,Jul 11 2024
United States,Aug  5 2023,672,Jul 11 2024
United States,Jul 29 2023,553,Jul 11 2024
United States,Jul 22 2023,540,Jul 11 2024
United States,Jul 15 2023,510,Jul 11 2024
United States,Jul  8 2023,492,Jul 11 2024
United States,Jul  1 2023,542,Jul 11 2024
United States,Jun 24 2023,583,Jul 11 2024
United States,Jun 17 2023,612,Jul 11 2024
United States,Jun 10 2023,633,Jul 11 2024
United States,Jun  3 2023,693,Jul 11 2024
United States,May 27 2023,742,Jul 11 2024
United States,May 20 2023,757,Jul 11 2024
United States,May 13 2023,838,Jul 11 2024
United States,May  6 2023,945,Jul 11 2024
United States,Apr 29 2023,1027,Jul 11 2024
United States,Apr 22 2023,1195,Jul 11 2024
United States,Apr 15 2023,1217,Jul 11 2024
United States,Apr  8 2023,1373,Jul 11 2024
United States,Apr  1 2023,1449,Jul 11 2024
United States,Mar 25 2023,1668,Jul 11 2024
United States,Mar 18 2023,1761,Jul 11 2024
United States,Mar 11 2023,1847,Jul 11 2024
United States,Mar  4 2023,1997,Jul 11 2024
United States,Feb 25 2023,2153,Jul 11 2024
United States,Feb 18 2023,2101,Jul 11 2024
United States,Feb 11 2023,2347,Jul 11 2024
United States,Feb  4 2023,2643,Jul 11 2024
United States,Jan 28 2023,2913,Jul 11 2024
United States,Jan 21 2023,3257,Jul 11 2024
United States,Jan 14 2023,3687,Jul 11 2024
United States,Jan  7 2023,3870,Jul 11 2024
United States,Dec 31 2022,3659,Jul 11 2024
United States,Dec 24 2022,3319,Jul 11 2024
United States,Dec 17 2022,3187,Jul 11 2024
United States,Dec 10 2022,3036,Jul 11 2024
United States,Dec  3 2022,2593,Jul 11 2024
United States,Nov 26 2022,2497,Jul 11 2024
United States,Nov 19 2022,2256,Jul 11 2024
United States,Nov 12 2022,2201,Jul 11 2024
United States,Nov  5 2022,2248,Jul 11 2024
United States,Oct 29 2022,2242,Jul 11 2024
United States,Oct 22 2022,2197,Jul 11 2024
United States,Oct 15 2022,2147,Jul 11 2024
United States,Oct  8 2022,2194,Jul 11 2024
United States,Oct  1 2022,2377,Jul 11 2024
United States,Sep 24 2022,2546,Jul 11 2024
United States,Sep 17 2022,2513,Jul 11 2024
United States,Sep 10 2022,2808,Jul 11 2024
United States,Sep  3 2022,2926,Jul 11 2024
United States,Aug 27 2022,3050,Jul 11 2024
United States,Aug 20 2022,3166,Jul 11 2024
United States,Aug 13 2022,3284,Jul 11 2024
United States,Aug  6 2022,3372,Jul 11 2024
United States,Jul 30 2022,3401,Jul 11 2024
United States,Jul 23 2022,3226,Jul 11 2024
United States,Jul 16 2022,2929,Jul 11 2024
United States,Jul  9 2022,2588,Jul 11 2024
United States,Jul  2 2022,2420,Jul 11 2024
United States,Jun 25 2022,2329,Jul 11 2024
United States,Jun 18 2022,2194,Jul 11 2024
